comparison,baseline,candidate,instance,paired_runs,baseline_median_fitness,candidate_median_fitness,quality_ratio,baseline_mean_raw_function_evaluations,candidate_mean_raw_function_evaluations,raw_fe_ratio,baseline_mean_best_found_function_evaluations,candidate_mean_best_found_function_evaluations,best_found_fe_ratio,runtime_ratio,final_robust_stdev_ratio,final_R_delta,quality_outcome,raw_fe_outcome
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,2a_Hurink_sdata_54_workers.fjs,10,19618.86389997384,19108.139635123618,0.9739676941817766,4999992,4999992,1.0,3098154,3770749.2,1.2170954703994703,1.0000001793823765,0.940772644494247,-0.005865440120068399,win,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,2a_Hurink_sdata_61_workers.fjs,10,2090.034333079059,2110.5081676834866,1.0097959321913461,4999992,4999992,1.0,4230448.8,3709041.6,0.8767489633723968,0.9999995875767638,0.9958140021116676,-0.0010121130252134236,loss,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,2a_Hurink_sdata_63_workers.fjs,10,911.1605759111883,898.5326755352467,0.9861408617648834,4999992,4999992,1.0,3437022,3758683.2,1.093587180995641,0.9999990227312946,0.879696849736303,-0.005678875443275722,win,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,2b_Hurink_edata_1_workers.fjs,10,108.58989260091764,109.35188972675698,1.0070172012107959,4999992,4999992,1.0,3632246.4,3461552.4,0.9530059414471441,0.9999981257076753,0.9926776317834455,-0.0005866769044380327,loss,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,2b_Hurink_edata_6_workers.fjs,10,1272.2324936657433,1263.459155283979,0.9931039818386612,4999992,4999992,1.0,3444320.4,3653377.2,1.0606960955200335,0.9999978794835898,0.9388746537275617,-5.764710404632112e-05,win,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,2c_Hurink_rdata_28_workers.fjs,10,2322.718791451521,2336.5748991942864,1.005965469342979,4999992,4999992,1.0,4507658.4,4294532.4,0.9527191323992076,1.0000015350268658,0.933951070310382,0.0013626481585902184,loss,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,2c_Hurink_rdata_38_workers.fjs,10,4701.139596615228,4744.920419860991,1.0093128107230183,4999992,4999992,1.0,4597831.2,4802683.2,1.044554049744149,1.000002687932661,0.9726292725781638,-0.0056560638388054585,loss,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,2c_Hurink_rdata_50_workers.fjs,10,13618.96422308381,13764.023824037085,1.0106512946636135,4999992,4999992,1.0,3761815.2,3325069.2,0.8839001979682575,0.9999999792510276,1.1060157345194632,0.009113940967731438,loss,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,2d_Hurink_vdata_18_workers.fjs,10,2521.8338979806867,2543.717321796422,1.0086775833385608,4999992,4999992,1.0,4345572,4343697.6,0.9995686643783602,1.0000009751964498,1.0987170598630032,0.0015387010689598135,loss,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,2d_Hurink_vdata_30_workers.fjs,10,3036.5195135981203,3063.315526910166,1.00882458129844,4999992,4999992,1.0,4558284,4391458.8,0.9634017538178841,1.0000005406744787,1.0783729101938713,0.004778998744018992,loss,tie
