comparison,baseline,candidate,instance,run,seed,baseline_fitness,candidate_fitness,fitness_ratio,baseline_raw_function_evaluations,candidate_raw_function_evaluations,raw_function_evaluations_ratio,baseline_best_found_function_evaluations,candidate_best_found_function_evaluations,baseline_runtime_s,candidate_runtime_s
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,9,1008,113.36637316457666,113.02051336268107,0.99694918526331,4999992,4999992,1.0,2675412,2371848,129600.74096083641,129600.25557565689
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_1_workers.fjs,10,1009,119.1155867777763,119.65377476979923,1.004518199562136,4999992,4999992,1.0,3571380,1749936,129600.62290811539,129600.15007543564
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,1,1000,5332.808618802409,5243.341681754286,0.9832232987449276,4999992,1393452,0.2786908459053534,4933044,377472,129602.58568620682,129600.07626128197
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,2,1001,5282.811857209003,5155.370537097071,0.9758762334233001,4999992,1329624,0.2659252254803608,4656408,831048,129601.8278889656,129601.3551018238
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,3,1002,5441.028689369343,4983.633257822706,0.9159358537402505,4999992,1562148,0.31243009988815984,4576188,301512,129601.21349024773,129602.54620432854
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,4,1003,5218.029837288197,5180.659489563512,0.9928382265165224,4999992,1102200,0.22044035270456433,4323012,288060,129601.58556771278,129601.65048575401
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,5,1004,5390.131635383959,5178.836645274094,0.9607996604901442,4999992,1218300,0.24366038985662378,4709868,670020,129602.10033679008,129601.29696679115
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,6,1005,5127.074982042762,4959.240806211314,0.9672651216494247,4999992,1510764,0.3021532834452535,4973448,710820,129601.45331931114,129601.37071299553
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,7,1006,5427.372153344056,4812.132580380412,0.8866413513610696,4999992,1610628,0.32212611540178465,3017940,1598148,129600.83428502083,129601.84407258034
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,8,1007,5401.300706400823,5344.947563978381,0.989566745958865,4999992,1433940,0.2867884588615342,4859640,506220,129600.74981331825,129601.6016459465
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,9,1008,5374.355449981222,5036.758672593294,0.9371837645407122,4999992,1726056,0.34521175233880375,4962804,667728,129600.04798316956,129600.59590864182
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_38_workers.fjs,10,1009,5805.342188694372,5018.843916122425,0.8645216342107076,4999992,1251288,0.25025800041280066,4072584,970692,129602.39142036438,129601.81746649742
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,1,1000,3659.9083006921946,3483.6168467697826,0.9518317292569679,4999992,4999992,1.0,4968828,2473524,129601.1864836216,129601.41254734993
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,2,1001,3581.7907356548963,3380.070169638722,0.9436816439307442,4999992,4080444,0.8160901057441692,3688224,241416,129601.47646474838,129601.1925201416
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,3,1002,3907.654831445134,3608.0948870985603,0.923340223927662,4999992,4550388,0.9100790561264898,4151052,2146332,129600.71676135063,129600.10370612144
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,4,1003,3727.9684682015477,3471.014926325035,0.9310741107205576,4999992,3687036,0.7374083798534078,4874436,2087304,129601.83453392982,129601.21055078506
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_40_workers.fjs,5,1004,3777.8859009946427,3604.5116160677717,0.9541081203957946,4999992,3903528,0.7807068491309586,2956380,378324,129600.48827409744,129601.16972398758
